id;created_at;text;retweet_count;favorite_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1337871747211800581;2020-12-12 21:27:35;""- """"A história nos mostra",quando o Estado avança sobre direitos e LIBERDADES INDIVIDUAIS,"dificilmente ele recua."""". Link no YouTube: https://t.co/VnqLFTdsrf https://t.co/SilLA7adGZ"";4434;24908",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1337741559371100160;2020-12-12 12:50:16;""Alagoas: entroncamento da BR-101/BR-316 tristemente conhecido como """"Trevo da Morte"""" não existe mais. Liberado viaduto de interseção mais 12km de pista dupla. Chegamos à marca de 50km no estado. Via @tarcisiogdf @MInfraestrutura @DNIToficial https://t.co/aQk5DhHlOd"";2306;15732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337723082123964416;2020-12-12 11:36:51;@mmeioambiente 🤝🇧🇷;68;1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337710648646643713;2020-12-12 10:47:26;- Acuse-o do que você faz,...- Chame-o do que você é. https://t.co/ViAjOBzz6l;6088;42799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337544337840869378;2020-12-11 23:46:35;- A convite do governo dos EUA visitei o Submarino Nuclear USS Vermont,enviado ao Brasil como demonstração da parceria estratégica entre os 2 países.- Tornei-me o primeiro Chefe de Estado brasileiro a embarcar e conhecer as instalações de um Submarino Nuclear Norte-Americano. https://t.co/EHqWvQYqrc;3475;30957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337451819027542019;2020-12-11 17:38:56;- Câmara da Argentina aprova o aborto. Projeto agora segue para o Senado. https://t.co/JuYrNprp7l;1985;19004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337351205031448577;2020-12-11 10:59:08;- O difícil trabalho de se combater o errado.- Com seu novo Presidente,Cel PM Mello Araújo,a CEAGESP vai mudando.- Bom dia a todos.. Link no YouTube: https://t.co/PWNw8mlpQv;2217;16560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337333670034755591;2020-12-11 09:49:28;- Liberação de mais um trecho (27 km) duplicado da BR-116 em Barra do Ribeiro/RS (10/dezembro/2020).- Obra realizada pelo 1° Batalhão Ferroviário de Lages/SC. @exercitooficial . Link no YouTube: https://t.co/xLer4FVVov https://t.co/6G3s9jq2Ev;1795;12356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1337166178192666625;2020-12-10 22:43:54;"". Tratamento precoce do corona vírus; @minsaude . Crédito para manutenção da Economia; @govbr . Auxílio a todos os estados independente de sua ideologia pensando em todos os brasileiros; @secomvc"";679;5013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1337166042074935296;2020-12-10 22:43:22;"". Apelo aos governadores;. Brasil é destaque internacional no combate ao covid;. Regularizações fundiárias em pleno vapor e inserção do pequeno produtor na economia; @Mapa_Brasil @TerezaCrisMS . 67 milhões recebem o auxílio emergencial; @MinCidadania @onyxlorenzoni"";784;5475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1337165812101156864;2020-12-10 22:42:27;""- Temas da semana:. Zerados impostos no combate ao covid e outros; @MinEconomia . Brasileiro preso na Rússia;. Vacina; @ItamaratyGovBr @ernestofaraujo . Economia com reflexos positivos e derivações  na pandemia;. @MTurismo e as mentiras de muitos da imprensa;"";239;1302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337157396884545536;2020-12-10 22:09:01;. Live de Quinta-feira - 10/12/2020. Acompanhe pelo YouTube: https://t.co/otS7XJwboE;1269;8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337104178599112717;2020-12-10 18:37:33;https://t.co/3XppacWuaM;3320;33468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337068115843313673;2020-12-10 16:14:14;- Parabenizo o Presidente da @anvisa_oficial,Almirante Barra. Um órgão independente e que sob sua liderança vem pensando no bem estar do brasileiro acima de outros interesses.;1278;11753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
